epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.186,1.31658,1.87145,1.44597,0.57781,0.53494,0.55514,0.26727,1.77008,1.86056,1.78658,0.00023727,0.00023727,0.00023727
2,396.459,1.23875,1.46615,1.38063,0.71535,0.50279,0.5535,0.26163,1.88102,1.6234,1.84263,0.00046586,0.00046586,0.00046586
3,578.732,1.22663,1.43897,1.37202,0.63623,0.55563,0.57982,0.26998,1.79074,1.68127,1.81939,0.000685024,0.000685024,0.000685024
4,761.395,1.21756,1.3702,1.36131,0.66877,0.54924,0.57244,0.27077,1.80114,1.48515,1.82176,0.000671588,0.000671588,0.000671588
5,959.092,1.17014,1.29808,1.32834,0.76497,0.55648,0.62446,0.29965,1.75755,1.36758,1.72995,0.000657451,0.000657451,0.000657451
6,1197.02,1.15586,1.25069,1.31729,0.72405,0.59725,0.6319,0.30738,1.75081,1.28905,1.75291,0.000643314,0.000643314,0.000643314
7,1470.82,1.14004,1.18968,1.30066,0.7683,0.60556,0.6529,0.32801,1.69223,1.24876,1.69978,0.000629177,0.000629177,0.000629177
8,1664.01,1.11523,1.13422,1.2846,0.76773,0.62402,0.67847,0.32512,1.72668,1.16952,1.69123,0.00061504,0.00061504,0.00061504
9,1868.97,1.08792,1.11613,1.2722,0.8313,0.63399,0.68459,0.32292,1.72735,1.1714,1.67606,0.000600902,0.000600902,0.000600902
10,2082.9,1.07576,1.07004,1.25798,0.84917,0.61514,0.69157,0.34959,1.68304,1.16186,1.65135,0.000586765,0.000586765,0.000586765
11,2280.92,1.06801,1.04744,1.25294,0.73065,0.67122,0.68201,0.35468,1.61312,1.18003,1.64436,0.000572628,0.000572628,0.000572628
12,2464.44,1.04667,1.02406,1.23635,0.8244,0.62896,0.69739,0.35332,1.65125,1.11446,1.69319,0.000558491,0.000558491,0.000558491
13,2655.6,1.02934,0.99706,1.22724,0.82835,0.66677,0.71594,0.38252,1.58445,1.07346,1.63271,0.000544354,0.000544354,0.000544354
14,2847.75,1.01147,0.94638,1.21461,0.75914,0.67655,0.71178,0.36577,1.60276,1.09044,1.61161,0.000530216,0.000530216,0.000530216
15,3038.37,1.01281,0.93102,1.20726,0.81254,0.65983,0.73115,0.40711,1.45841,0.98936,1.49845,0.000516079,0.000516079,0.000516079
16,3220.33,0.98468,0.91601,1.1972,0.81272,0.67548,0.73494,0.39562,1.53995,0.97312,1.56565,0.000501942,0.000501942,0.000501942
17,3410.73,0.98606,0.90492,1.19277,0.8379,0.642,0.73454,0.38564,1.56281,0.99879,1.56646,0.000487805,0.000487805,0.000487805
18,3601.18,0.97337,0.88391,1.18861,0.8073,0.68363,0.74065,0.39441,1.56331,0.98114,1.59138,0.000473668,0.000473668,0.000473668
19,3791.42,0.96764,0.85939,1.17844,0.82756,0.68131,0.7465,0.41672,1.45435,0.98128,1.49149,0.00045953,0.00045953,0.00045953
20,3973.27,0.95668,0.8507,1.16718,0.8895,0.6852,0.77256,0.42164,1.47588,0.9284,1.53318,0.000445393,0.000445393,0.000445393
21,4170.46,0.94041,0.82695,1.16414,0.8462,0.67881,0.76368,0.43284,1.42356,0.90787,1.44983,0.000431256,0.000431256,0.000431256
22,4383.7,0.9344,0.80683,1.15233,0.83032,0.6993,0.75836,0.41675,1.53777,0.90962,1.56007,0.000417119,0.000417119,0.000417119
23,4592.96,0.9294,0.80502,1.14817,0.85343,0.7083,0.76884,0.43035,1.46332,0.89199,1.4985,0.000402982,0.000402982,0.000402982
24,4781.39,0.90933,0.78432,1.14402,0.88958,0.69209,0.77417,0.46335,1.37909,0.86027,1.42671,0.000388844,0.000388844,0.000388844
25,4999.83,0.89201,0.75951,1.1373,0.85841,0.70779,0.76998,0.43264,1.41739,0.85597,1.46626,0.000374707,0.000374707,0.000374707
26,5213.92,0.89435,0.76049,1.13005,0.89316,0.70029,0.78108,0.46605,1.33446,0.86386,1.41423,0.00036057,0.00036057,0.00036057
27,5431.53,0.8848,0.75468,1.12978,0.86718,0.69806,0.7732,0.44884,1.39963,0.82952,1.44116,0.000346433,0.000346433,0.000346433
28,5618.82,0.8716,0.7283,1.11988,0.86461,0.74318,0.80208,0.46814,1.39186,0.79895,1.4555,0.000332296,0.000332296,0.000332296
29,5830.23,0.8663,0.72757,1.11436,0.88891,0.71738,0.79466,0.47043,1.36666,0.81285,1.43326,0.000318158,0.000318158,0.000318158
30,6047.88,0.858,0.71441,1.11142,0.87445,0.71664,0.79789,0.4635,1.31634,0.82131,1.39749,0.000304021,0.000304021,0.000304021
31,6246.45,0.84716,0.70018,1.10175,0.89972,0.71727,0.81375,0.47533,1.3628,0.79243,1.40093,0.000289884,0.000289884,0.000289884
32,6432.98,0.83519,0.68464,1.09457,0.88546,0.74819,0.81123,0.46785,1.35044,0.76171,1.44865,0.000275747,0.000275747,0.000275747
33,6631.86,0.83206,0.68361,1.09562,0.91809,0.71311,0.80871,0.48684,1.27575,0.7817,1.37648,0.00026161,0.00026161,0.00026161
34,6843.68,0.81836,0.66558,1.08737,0.90617,0.74217,0.81701,0.48795,1.29111,0.75524,1.37753,0.000247472,0.000247472,0.000247472
35,7049.74,0.82869,0.66471,1.08946,0.91954,0.72136,0.80441,0.4889,1.27869,0.75474,1.36061,0.000233335,0.000233335,0.000233335
36,7248.61,0.80726,0.64338,1.07814,0.9307,0.73312,0.81948,0.50701,1.24896,0.74372,1.34489,0.000219198,0.000219198,0.000219198
37,7456.65,0.79716,0.64342,1.07608,0.91291,0.72215,0.81413,0.48684,1.31433,0.76738,1.401,0.000205061,0.000205061,0.000205061
38,7666.47,0.79518,0.63618,1.07349,0.88383,0.73309,0.8169,0.50851,1.25295,0.72477,1.33559,0.000190924,0.000190924,0.000190924
39,7887.93,0.78584,0.63099,1.06398,0.89105,0.76046,0.82718,0.51087,1.26631,0.72425,1.34307,0.000176786,0.000176786,0.000176786
40,8088.62,0.7766,0.60957,1.05801,0.89314,0.73098,0.81398,0.51438,1.21089,0.72114,1.31235,0.000162649,0.000162649,0.000162649
41,8304.91,0.79005,0.54801,1.0679,0.88892,0.74738,0.81821,0.50638,1.21605,0.71316,1.31495,0.000148512,0.000148512,0.000148512
42,8499.53,0.76554,0.52154,1.04846,0.91428,0.74208,0.82302,0.5135,1.21846,0.68432,1.32413,0.000134375,0.000134375,0.000134375
43,8693.38,0.74911,0.50984,1.03891,0.90094,0.7559,0.83027,0.51872,1.21246,0.68929,1.32308,0.000120238,0.000120238,0.000120238
44,8877.13,0.74901,0.50643,1.04042,0.89506,0.75444,0.82757,0.50722,1.22281,0.68804,1.33289,0.0001061,0.0001061,0.0001061
45,9070.14,0.72893,0.49275,1.02443,0.8935,0.761,0.8307,0.52222,1.21208,0.68011,1.3173,9.19632e-05,9.19632e-05,9.19632e-05
46,9274.48,0.72728,0.48575,1.02268,0.92063,0.75728,0.83658,0.5246,1.19837,0.66891,1.30734,7.7826e-05,7.7826e-05,7.7826e-05
47,9478.77,0.71167,0.47801,1.02088,0.93682,0.74388,0.83885,0.51965,1.19299,0.66539,1.30594,6.36888e-05,6.36888e-05,6.36888e-05
48,9670.19,0.70484,0.47255,1.00904,0.87963,0.77071,0.83833,0.51483,1.19746,0.65701,1.32327,4.95516e-05,4.95516e-05,4.95516e-05
49,9875.87,0.70143,0.46714,1.00932,0.9349,0.73632,0.83042,0.52155,1.18936,0.66028,1.30708,3.54144e-05,3.54144e-05,3.54144e-05
50,10075.3,0.693,0.46124,1.00303,0.90822,0.75932,0.8355,0.52635,1.18265,0.6488,1.3079,2.12772e-05,2.12772e-05,2.12772e-05
